group,feature,mean_feature_value,group_count
FP,dur,1.238169514199278,10247
FP,spkts,11.662828144822875,10247
FP,dpkts,6.691324290036108,10247
FP,sbytes,5262.61539962916,10247
FP,dbytes,791.8042353859666,10247
FP,rate,61152.36785660389,10247
FP,sload,104377195.09094901,10247
FP,dload,3721.00175218054,10247
FP,sloss,3.3574704791646335,10247
FP,dloss,1.3227286034937056,10247
FP,sinpkt,267.7942455809506,10247
FP,dinpkt,273.0383176669269,10247
FP,sjit,17903.253741027715,10247
FP,djit,754.6962209182199,10247
FP,swin,183.2307016687811,10247
FP,stcpb,1538000068.3886015,10247
FP,dtcpb,1528386194.3750365,10247
FP,dwin,183.15604567190397,10247
FP,tcprtt,0.1159975827071338,10247
FP,synack,0.060709974626720016,10247
FP,ackdat,0.05528760808041379,10247
FP,smean,206.74597443154093,10247
FP,dmean,49.25509905338148,10247
FP,trans_depth,0.1490192251390651,10247
FP,response_body_len,115.24251000292769,10247
FP,ct_srv_src,5.022055235678735,10247
FP,ct_dst_ltm,2.6251585829999025,10247
FP,ct_src_dport_ltm,1.8438567385576266,10247
FP,ct_dst_sport_ltm,1.1515565531375036,10247
FP,ct_dst_src_ltm,4.24211964477408,10247
FP,is_ftp_login,0.005269835073680102,10247
FP,ct_ftp_cmd,0.005269835073680102,10247
FP,ct_flw_http_mthd,0.3731823948472724,10247
FP,ct_src_ltm,3.143554210988582,10247
FP,ct_srv_dst,4.3955303991412125,10247
FP,is_sm_ips_ports,0.0,10247
FP,proto,114.64360300575778,10247
FP,service,0.8117497804235386,10247
FP,state,2.284668683517127,10247
FN,dur,0.8810786421291054,883
FN,spkts,10.660249150622876,883
FN,dpkts,8.093997734994337,883
FN,sbytes,2675.092865232163,883
FN,dbytes,2288.5537938844845,883
FN,rate,23577.175951107587,883
FN,sload,98603514.6362769,883
FN,dload,11053.614531287656,883
FN,sloss,2.5889014722536805,883
FN,dloss,2.10079275198188,883
FN,sinpkt,525.1410270883352,883
FN,dinpkt,809.8259315322763,883
FN,sjit,42213.259140053226,883
FN,djit,1678.3099970056626,883
FN,swin,206.48357870894677,883
FN,stcpb,1643705314.7712345,883
FN,dtcpb,1694490435.1653454,883
FN,dwin,205.90600226500567,883
FN,tcprtt,0.10137269422423556,883
FN,synack,0.05554398640996602,883
FN,ackdat,0.04582870781426954,883
FN,smean,203.85956964892412,883
FN,dmean,59.711211778029444,883
FN,trans_depth,0.01925254813137033,883
FN,response_body_len,2.663646659116648,883
FN,ct_srv_src,9.603624009060022,883
FN,ct_dst_ltm,3.1415628539071347,883
FN,ct_src_dport_ltm,2.9479048697621746,883
FN,ct_dst_sport_ltm,1.1698754246885616,883
FN,ct_dst_src_ltm,5.177802944507361,883
FN,is_ftp_login,0.0,883
FN,ct_ftp_cmd,0.0,883
FN,ct_flw_http_mthd,0.03284258210645526,883
FN,ct_src_ltm,3.4563986409966025,883
FN,ct_srv_dst,8.938844847112117,883
FN,is_sm_ips_ports,0.0,883
FN,proto,114.14156285390713,883
FN,service,0.3171007927519819,883
FN,state,2.1642129105322763,883
