stage,config_id,params_json,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,scale_pos_weight,best_iteration,best_val_aucpr,fit_seconds,train_pr_auc,train_roc_auc,train_accuracy,train_precision,train_recall,train_f1,val_pr_auc,val_roc_auc,val_accuracy,val_precision,val_recall,val_f1
sampling,structurerank2_structure_d8_child1_sub0.85_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 0.85, ""tree_method"": ""hist""}",2000,0.1,8,1,0.85,1.0,1.0,0.0,0,1,223,0.9852639298761373,1.6909989999985555,0.996823,0.997091,0.973107,0.964024,0.981085,0.972479,0.985265,0.986789,0.935649,0.922448,0.94673,0.934431
sampling,structurerank2_structure_d8_child1_sub1.0_col0.6,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,0.6,1.0,0.0,0,1,424,0.9853334980552255,2.7378882499979227,0.99872,0.998833,0.98464,0.977877,0.990698,0.984245,0.985334,0.986922,0.935549,0.923459,0.945279,0.934242
sampling,structurerank2_structure_d8_child1_sub1.0_col0.8,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,0.8,1.0,0.0,0,1,376,0.98521752948156,2.489168250001967,0.998273,0.998433,0.982017,0.975192,0.988003,0.981556,0.985218,0.986869,0.936502,0.92498,0.94559,0.935171
sampling,structurerank2_structure_d8_child1_sub1.0_col1.0,"{""colsample_bytree"": 1.0, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 8, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,8,1,1.0,1.0,1.0,0.0,0,1,490,0.9853932794347865,3.205976583998563,0.999275,0.999339,0.988668,0.983627,0.993133,0.988357,0.985394,0.986977,0.936703,0.926393,0.944347,0.935284
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,0.0,0,1,358,0.9856745454972021,2.843918874998053,0.999652,0.99968,0.992433,0.988354,0.996113,0.992218,0.985675,0.987132,0.93595,0.923778,0.945797,0.934658
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,1.0,1.0,0,1,282,0.985937332083788,2.502373333001742,0.999351,0.999404,0.989584,0.984601,0.99404,0.989298,0.985938,0.987283,0.937105,0.925071,0.946834,0.935826
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda5.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,5.0,0.0,0,1,324,0.9855131459513927,2.600627749998239,0.998166,0.998324,0.98105,0.973614,0.98764,0.980577,0.985514,0.987015,0.936101,0.923972,0.945901,0.934808
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda5.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 5.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,5.0,1.0,0,1,496,0.9854651388639393,4.187925999998697,0.999617,0.999648,0.992734,0.988737,0.996346,0.992527,0.985466,0.986939,0.935448,0.92413,0.944243,0.934078
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda10.0_alpha0.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,10.0,0.0,0,1,720,0.9857207874321434,5.471844250001595,0.999594,0.999626,0.992157,0.987945,0.995958,0.991935,0.985722,0.987148,0.936101,0.924833,0.944865,0.934741
regularization,samplingrank1_structurerank1_structure_d10_child1_sub1.0_col0.6_lambda10.0_alpha1.0,"{""colsample_bytree"": 0.6, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 10.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.6,10.0,1.0,0,1,506,0.9853742250234149,3.9808093339997868,0.999134,0.999211,0.988806,0.983235,0.993833,0.988505,0.985375,0.986816,0.9358,0.923926,0.945279,0.934481
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda1.0_alpha0.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,1.0,0.0,0,1,288,0.9856617481156817,2.492135666998365,0.999282,0.99934,0.988204,0.982867,0.992952,0.987884,0.985663,0.987185,0.937356,0.92675,0.945383,0.935974
regularization,samplingrank2_structurerank1_structure_d10_child1_sub1.0_col0.8_lambda1.0_alpha1.0,"{""colsample_bytree"": 0.8, ""early_stopping_rounds"": 50, ""eval_metric"": ""aucpr"", ""gamma"": 0, ""learning_rate"": 0.1, ""max_depth"": 10, ""min_child_weight"": 1, ""n_estimators"": 2000, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 1.0, ""reg_lambda"": 1.0, ""scale_pos_weight"": 1, ""subsample"": 1.0, ""tree_method"": ""hist""}",2000,0.1,10,1,1.0,0.8,1.0,1.0,0,1,417,0.9856895599180282,3.4859727500006557,0.999845,0.999857,0.995307,0.992297,0.998057,0.995169,0.98569,0.987103,0.935398,0.924381,0.943828,0.934003
